year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1990,San Antonio,"San Antonio, TX",1129154.0,438.0,113441.47923271700,1004.659056538940
2000,San Antonio,"San Antonio, TX",1327554.0,407.56,105557.55542485400,795.1281486467140
2010,San Antonio,"San Antonio, TX                                                                                     ",1758210.0,597.1,154648.19006816300,879.5774683806970
2020,San Antonio,"San Antonio, TX",1992689.0,613.44,158880.2306404520,797.3157408930930
1950,Sacramento,Sacramento,211777.0,41.6,10774.350538997800,508.75923915239900
1960,Sacramento,Sacramento,451920.0,134.0,34705.840678502400,767.9642564724380
1970,Sacramento,Sacramento,640759.0,253.5,65656.1985970176,1024.6629169003900
1980,Sacramento,Sacramento,796266.0,278.0,72001.6694673408,904.2414151469590
1990,Sacramento,"Sacramento, CA",1097005.0,333.9,86479.70300411900,788.3255135949160
2000,Sacramento,"Sacramento, CA",1393498.0,369.03,95578.3312357294,685.8878249967310
2010,Sacramento,"Sacramento, CA                                                                                      ",1723634.0,470.98,121983.26002060500,707.7097575274390
2020,Sacramento,"Sacramento, CA",1946618.0,467.58,121102.66406309100,622.118279308476
1950,Orlando,Orlando,73163.0,24.9,6449.07039473664,881.4660955314350
1960,Orlando,Orlando,200995.0,76.8,19891.10868738050,989.6320150939320
1970,Orlando,Orlando,305479.0,131.7,34110.14341312510,1116.611728240730
1980,Orlando,Orlando,577235.0,312.0,80807.62904248320,1399.908686106750
1990,Orlando,"Orlando, FL",887126.0,394.6,102200.93083385900,1152.0452656540200
2000,Orlando,"Orlando, FL",1157431.0,453.19,117375.67117231700,1014.1051274099000
2010,Orlando,"Orlando, FL                                                                                         ",1510516.0,597.69,154800.99936667200,1024.8219771698700
2020,Orlando,"Orlando, FL",1853896.0,644.61,166953.2235803690,900.5533405345760
2000,San Juan,"San Juan, PR",2216616.0,891.67,230941.4698343300,1041.8650313555900
2010,San Juan,"San Juan, PR                                                                                        ",2148346.0,866.69,224471.67953471100,1044.8581352105800
2020,San Juan,"San Juan, PR",1844410.0,763.6,197771.49210525700,1072.2751020936600
1950,San Jose,San Jose,176473.0,60.6,15695.32794863620,889.3897620959670
1960,San Jose,San Jose,602805.0,223.1,57782.634741596200,958.5626320550790
1970,San Jose,San Jose,1025273.0,277.2,71794.47041851390,700.2473528368930
1980,San Jose,San Jose,1243952.0,326.0,84433.61239695360,678.7529775823630
1990,San Jose,"San Jose, CA",1435019.0,338.4,87645.19765377020,610.7598411851710
2000,San Jose,"San Jose, CA",1538312.0,260.11,67368.1807379497,437.93574215081000
2010,San Jose,"San Jose, CA                                                                                        ",1664496.0,285.98,74068.47997938890,444.9904354194240
2020,San Jose,"San Jose, CA",1837446.0,285.48,73938.98057387210,402.4008355830440
1950,Austin,Austin,135971.0,34.6,8961.358861762560,659.0639814197560
1960,Austin,Austin,187157.0,50.7,13131.239719403500,701.6162750740570
1970,Austin,Austin,264499.0,85.8,22222.097986682900,840.1581097351180
1980,Austin,Austin,379560.0,141.0,36518.832355737600,962.1359562582360
1990,Austin,"Austin, TX",562008.0,273.2,70758.47517437950,1259.0296788369500
2000,Austin,"Austin, TX",901920.0,318.13,82395.29175411920,913.5543258173580
2010,Austin,"Austin, TX                                                                                          ",1362416.0,523.03,135464.1481349040,994.2935794566700
2020,Austin,"Austin, TX",1809888.0,619.62,160480.84329263900,886.6893602954390
1950,Pittsburgh,Pittsburgh,1532953.0,253.6,65682.09847812100,428.4677904549000
1960,Pittsburgh,Pittsburgh,1804400.0,525.0,135974.37579264,753.5711360709380
1970,Pittsburgh,Pittsburgh,1846042.0,596.4,154466.89090043900,836.746351927199
1980,Pittsburgh,Pittsburgh,1810038.0,713.0,184666.1522669570,1020.2335656320900
1990,Pittsburgh,"Pittsburgh, PA",1678745.0,778.1,201526.97486524400,1200.462100350230
2000,Pittsburgh,"Pittsburgh, PA",1753136.0,852.4,220770.58652504100,1259.289561819740
2010,Pittsburgh,"Pittsburgh, PA                                                                                      ",1733853.0,905.17,234437.9537832840,1352.12128008132
2020,Pittsburgh,"Pittsburgh, PA",1745039.0,906.64,234818.68203550300,1345.6357252502800
1950,Cleveland,Cleveland,1383599.0,300.1,77725.54319118340,561.7635108957390
1960,Cleveland,Cleveland,1784991.0,586.7,151954.60243341300,851.2905803637840
1970,Cleveland,Cleveland,1959880.0,646.1,167339.13180880900,853.8233555565080
1980,Cleveland,Cleveland,1752424.0,629.0,162910.2521401340,929.6280588495390
1990,Cleveland,"Cleveland, OH",1677492.0,635.9,164697.34393626600,981.8070305924930
2000,Cleveland,"Cleveland, OH",1786647.0,647.0,167572.23073873900,937.9146005827630
2010,Cleveland,"Cleveland, OH                                                                                       ",1780673.0,771.97,199939.31215360800,1122.8300319800900
2020,Cleveland,"Cleveland, OH",1712178.0,713.81,184875.941303894,1079.7705688537900
1950,Indianapolis,Indianapolis,502375.0,90.6,23465.29227964420,467.08718148084900
1960,Indianapolis,Indianapolis,639340.0,144.9,37528.927718768600,586.9948340283520
1970,Indianapolis,Indianapolis,820259.0,381.2,98730.34676600830,1203.6484423335600
1980,Indianapolis,Indianapolis,836472.0,433.0,112146.4851775490,1340.708178845780
1990,Indianapolis,"Indianapolis, IN",914761.0,468.9,121444.54249365500,1327.6095340056600
2000,Indianapolis,"Indianapolis, IN",1218919.0,552.92,143205.62259669800,1174.857579516750
2010,Indianapolis,"Indianapolis, IN                                                                                    ",1487483.0,705.74,182785.8208988530,1228.8262850658000
2020,Indianapolis,"Indianapolis, IN",1699881.0,722.55,187139.5909123280,1100.8981858867000
1950,Cincinnati,Cincinnati,813292.0,146.1,37839.72629200900,465.2661810519340
1960,Cincinnati,Cincinnati,993568.0,242.3,62755.41191344130,631.6166776047670
1970,Cincinnati,Cincinnati,1110514.0,335.1,86790.50157735940,781.5345108423610
1980,Cincinnati,Cincinnati,1123412.0,420.0,108779.500634112,968.2956976969450
1990,Cincinnati,"Cincinnati, OH--KY",1212675.0,511.7,132529.69160589300,1092.8706504701800
