year,city_token,name,population,area_sqmi,area_ha,m2_per_person
1960,Sacramento,Sacramento,451920.0,134.0,34705.840678502405,767.9642564724377
1970,Sacramento,Sacramento,640759.0,253.5,65656.1985970176,1024.6629169003884
1980,Sacramento,Sacramento,796266.0,278.0,72001.6694673408,904.2414151469585
1990,Sacramento,"Sacramento, CA",1097005.0,333.9,86479.70300411904,788.3255135949157
2000,Sacramento,"Sacramento, CA",1393498.0,369.03,95578.3312357294,685.8878249967306
2010,Sacramento,"Sacramento, CA                                                                                      ",1723634.0,470.98,121983.26002060494,707.7097575274388
2020,Sacramento,"Sacramento, CA",1946618.0,467.58,121102.66406309069,622.118279308476
1950,Orlando,Orlando,73163.0,24.9,6449.07039473664,881.4660955314353
1960,Orlando,Orlando,200995.0,76.8,19891.10868738048,989.6320150939317
1970,Orlando,Orlando,305479.0,131.7,34110.14341312512,1116.611728240734
1980,Orlando,Orlando,577235.0,312.0,80807.62904248321,1399.908686106754
1990,Orlando,"Orlando, FL",887126.0,394.6,102200.93083385857,1152.0452656540174
2000,Orlando,"Orlando, FL",1157431.0,453.19,117375.67117231719,1014.1051274099034
2010,Orlando,"Orlando, FL                                                                                         ",1510516.0,597.69,154800.99936667242,1024.8219771698705
2020,Orlando,"Orlando, FL",1853896.0,644.61,166953.2235803689,900.5533405345764
2000,San Juan,"San Juan, PR",2216616.0,891.67,230941.4698343301,1041.8650313555895
2010,San Juan,"San Juan, PR                                                                                        ",2148346.0,866.69,224471.67953471083,1044.8581352105798
2020,San Juan,"San Juan, PR",1844410.0,763.6,197771.49210525697,1072.2751020936612
1950,San Jose,San Jose,176473.0,60.6,15695.32794863616,889.3897620959671
1960,San Jose,San Jose,602805.0,223.1,57782.634741596165,958.5626320550786
1970,San Jose,San Jose,1025273.0,277.2,71794.47041851393,700.2473528368926
1980,San Jose,San Jose,1243952.0,326.0,84433.61239695361,678.7529775823634
1990,San Jose,"San Jose, CA",1435019.0,338.4,87645.19765377024,610.7598411851707
2000,San Jose,"San Jose, CA",1538312.0,260.11,67368.1807379497,437.93574215081014
2010,San Jose,"San Jose, CA                                                                                        ",1664496.0,285.98,74068.47997938894,444.9904354194239
2020,San Jose,"San Jose, CA",1837446.0,285.48,73938.98057387213,402.4008355830437
1950,Austin,Austin,135971.0,34.6,8961.358861762561,659.0639814197558
1960,Austin,Austin,187157.0,50.7,13131.239719403522,701.6162750740566
1970,Austin,Austin,264499.0,85.8,22222.097986682882,840.1581097351175
1980,Austin,Austin,379560.0,141.0,36518.832355737606,962.1359562582361
1990,Austin,"Austin, TX",562008.0,273.2,70758.47517437952,1259.0296788369474
2000,Austin,"Austin, TX",901920.0,318.13,82395.29175411917,913.5543258173582
2010,Austin,"Austin, TX                                                                                          ",1362416.0,523.03,135464.1481349038,994.2935794566697
2020,Austin,"Austin, TX",1809888.0,619.62,160480.84329263924,886.6893602954394
1950,Pittsburgh,Pittsburgh,1532953.0,253.6,65682.09847812097,428.4677904548996
1960,Pittsburgh,Pittsburgh,1804400.0,525.0,135974.37579264,753.5711360709377
1970,Pittsburgh,Pittsburgh,1846042.0,596.4,154466.89090043906,836.746351927199
1980,Pittsburgh,Pittsburgh,1810038.0,713.0,184666.1522669568,1020.2335656320851
