Table 1,,,,,,,,,,,,,,
,,,Place,Population ,Land area,,,,,,,,,
,,356,Williamsport,58650,23,,,,,,,,,
,,357,Wilmington,406112,171,,,,,,,,,
,,358,Wilmington,88763,77,,,,,,,,,
,,359,Winston-Salem,171530,109,,,,,,,,,
,,360,Winter Haven,72560,46,,,,,,,,,
,,361,Worcester,276022,118,,,,,,,,,
,,362,Yakima,81085,33,,,,,,,,,
,,363,York,129336,48,,,,,,,,,
,,364,Youngstown,383398,149,,,,,,,,,
,,365,Yuba City,61107,26,,,,,,,,,
,,366,Yuma,54657,23,,,,,,,,,
