Table 1,,,,,
,,,Place,Population ,Land area
,,349,"St. Joseph, MO--KS","75,395",47.1
,,350,"St. Louis, MO--IL","1,946,526",728.2
,,351,"Sumter, SC","57,632",37.4
,,352,"Syracuse, NY","388,918",133.6
,,353,"Tacoma, WA","497,210",232.8
,,354,"Tallahassee, FL","155,884",89
,,355,"Tampa--St. Petersburg--Clearwater, FL","1,708,710",649.7
,,356,"Taunton, MA","58,884",59.5
,,357,"Temple, TX","58,710",53.9
,,358,"Terre Haute, IN","77,019",43
,,359,"Texarkana, TX--Texarkana, AR","65,086",46.2
,,360,"Texas City, TX","128,211",123.8
,,361,"Titusville, FL","51,549",41.3
,,362,"Toledo, OH--MI","489,155",193.4
,,363,"Topeka, KS","132,711",68.9
,,364,"Trenton, NJ--PA","298,602",95.8
,,365,"Tucson, AZ","579,235",246.5
,,366,"Tulsa, OK","474,668",304.4
,,367,"Tuscaloosa, AL","106,428",70.2
,,368,"Tyler, TX","79,703",43.8
,,369,"Utica--Rome, NY","158,553",91.5
,,370,"Vacaville, CA","71,535",22.8
,,371,"Vero Beach, FL","64,707",50.7
,,372,"Victoria, TX","55,122",30.2
,,373,"Vineland--Millville, NJ","94,236",127.7
,,374,"Visalia, CA","83,594",27.6
,,375,"Waco, TX","144,372",121.9
,,376,"Warner Robins, GA","60,976",30.8
,,377,"Washington, DC--MD--VA","3,363,031",944.6
,,378,"Waterbury, CT","175,067",73.3
,,379,"Waterloo--Cedar Falls, IA","108,260",98.1
,,380,"Watsonville, CA","51,378",20.5
,,381,"Wausau, WI","57,352",40.3
,,382,"West Palm Beach--Boca Raton--Delray Beach, FL","794,848",306.6
,,383,"Wheeling, WV--OH","84,507",38.9
,,384,"Wichita Falls, TX","97,151",54.8
,,385,"Wichita, KS","338,789",144.5
,,386,"Williamsport, PA","57,425",23.1
,,387,"Wilmington, DE--NJ--MD--PA","449,616",187.8
,,388,"Wilmington, NC","101,357",83.6
,,389,"Winston-Salem, NC","185,184",120.7
,,390,"Winter Haven, FL","86,427",48.1
,,391,"Worcester, MA--CT","315,666",138.7
,,392,"Yakima, WA","88,054",37.4
,,393,"York, PA","142,675",57.2
,,394,"Youngstown--Warren, OH","361,627",167.3
,,395,"Yuba City, CA","77,167",27.7
,,396,"Yuma, AZ--CA","70,955",26.3
