Table 1,,,,,,
UACE,NAME,POP,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI
7759,"Birch Bay, WA","15,833","33,814,662",13.06,"393,048",0.15
7770,"Birdsboro--Amity, PA","16,999","22,176,287",8.56,"29,128",0.01
7786,"Birmingham, AL","774,956","1,319,007,575",509.27,"9,300,252",3.59
7813,"Bisbee, AZ","4,637","8,165,838",3.15,0.00,0.00
7840,"Bishop, CA","11,013","14,219,124",5.49,"17,292",0.01
7921,"Bismarck, ND","98,198","108,402,649",41.85,"1,047,286",0.40
7948,"Blackfoot, ID","14,231","19,458,927",7.51,"459,187",0.18
7975,"Black River Falls, WI","4,415","9,592,872",3.70,"8,248",0.00
8002,"Blacksburg--Christiansburg, VA","72,400","88,004,948",33.98,"135,579",0.05
8083,"Blackwell, OK","6,017","9,955,610",3.84,"17,842",0.01
8137,"Blair, NE","8,001","21,189,662",8.18,0.00,0.00
8164,"Blairsville, PA","6,156","13,521,907",5.22,"4,980",0.00
8353,"Bloomfield, NM","7,841","16,180,989",6.25,"87,446",0.03
8380,"Bloomington, IN","110,103","111,461,459",43.04,"13,178",0.01
8407,"Bloomington--Normal, IL","134,100","130,436,714",50.36,"571,357",0.22
8434,"Bloomsburg--Berwick, PA","39,212","53,729,115",20.74,"1,385,178",0.53
8470,"Blowing Rock, NC","1,412","8,284,152",3.20,"113,630",0.04
8515,"Bluefield, WV--VA","40,750","100,230,880",38.70,"360,007",0.14
8542,"Bluffton, IN","10,346","16,844,842",6.50,"198,848",0.08
8601,"Bluffton East--Hilton Head Island, SC","71,824","163,794,642",63.24,"4,715,792",1.82
8607,"Bluffton West, SC","31,096","60,360,788",23.31,"87,316",0.03
8623,"Blythe, CA--AZ","11,780","16,059,355",6.20,"110,393",0.04
8650,"Blytheville, AR","15,873","37,636,444",14.53,0.00,0.00
8704,"Boerne, TX","18,320","24,995,790",9.65,0.00,0.00
8731,"Bogalusa, LA","11,019","28,238,846",10.90,"77,121",0.03
8785,"Boise City, ID","433,180","360,604,917",139.23,"5,022,231",1.94
8812,"Bolivar, MO","10,324","15,321,678",5.92,"21,991",0.01
8866,"Bolivar, TN","5,281","12,278,310",4.74,0.00,0.00
8920,"Bonham, TX","7,799","13,023,790",5.03,0.00,0.00
8974,"Bonita Springs--Estero, FL","425,675","629,261,315",242.96,"54,438,285",21.02
9005,"Bonne Terre, MO","6,696","5,703,065",2.20,"53,277",0.02
9028,"Boone, IA","12,357","19,706,645",7.61,"3,221",0.00
9055,"Boone, NC","26,306","47,104,231",18.19,"176,287",0.07
9109,"Booneville, MS","6,438","16,497,866",6.37,"27,004",0.01
9163,"Boonville, IN","6,507","7,326,458",2.83,"34,048",0.01
9190,"Boonville, MO","8,034","15,083,778",5.82,"58,042",0.02
9200,"Boothbay Harbor, ME","3,067","29,076,101",11.23,"10,829,901",4.18
9217,"Borger, TX","12,848","24,389,656",9.42,"51,733",0.02
9271,"Boston, MA--NH","4,382,009","4,288,728,505","1,655.89","185,677,268",71.69
9298,"Boulder, CO","120,828","65,911,869",25.45,"655,779",0.25
9325,"Boulder City, NV","14,181","14,826,356",5.72,0.00,0.00
9352,"Bowie, TX","5,419","11,176,169",4.32,"46,255",0.02
9379,"Bowling Green, KY","97,814","135,135,616",52.18,"760,052",0.29
9433,"Bowling Green, OH","30,989","29,366,514",11.34,"165,541",0.06
9460,"Box Elder, SD","11,386","15,755,001",6.08,0.00,0.00
9487,"Boyne City, MI","3,990","13,768,973",5.32,"172,067",0.07
9514,"Bozeman, MT","59,080","55,406,356",21.39,"137,703",0.05
9536,"Bradenton--Sarasota--Venice, FL","779,075","1,047,084,870",404.28,"102,433,799",39.55
9541,"Bradford, PA--NY","11,182","14,874,372",5.74,"289,937",0.11
9568,"Brady, TX","4,887","7,577,027",2.93,"19,525",0.01
9622,"Brainerd, MN","20,687","41,800,334",16.14,"2,606,175",1.01
9649,"Brandon, SD","10,959","12,126,940",4.68,"6,506",0.00
9676,"Branson, MO","28,640","90,219,202",34.83,"1,146,904",0.44
9703,"Brattleboro, VT","10,285","14,831,844",5.73,"101,337",0.04
9730,"Brawley, CA","26,270","12,336,787",4.76,0.00,0.00
